"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000166441",16693.3277522474,-1.14534101150633,0.130508690864879,-8.77597502446911,1.69429430907147e-18,1.74767735086985e-16,"RPL27A"
"ENSG00000105373",6324.32615139344,-1.20988895890148,0.138348554914734,-8.74522295984329,2.22575696872162e-18,2.19654390850715e-16,"NOP53"
"ENSG00000197958",17279.0136936179,-1.18239065374445,0.13555595557058,-8.72252826345809,2.72057741695077e-18,2.63421191687492e-16,"RPL12"
"ENSG00000105193",10825.3933472328,-1.10775902779284,0.127219770408371,-8.7074440099756,3.10803659481346e-18,2.96979438022831e-16,"RPS16"
"ENSG00000142534",27013.0235751574,-1.02167270839778,0.117525599985641,-8.69319287476607,3.52393391276286e-18,3.33344660955222e-16,"RPS11"
"ENSG00000100316",42977.6380482448,-1.20727842635338,0.139977760597255,-8.62478740338593,6.42118269339824e-18,5.70595745226778e-16,"RPL3"
"ENSG00000145592",15442.4997730977,-1.0407616791719,0.123302055026025,-8.4407488500676,3.15310992033067e-17,2.55825641638845e-15,"RPL37"
"ENSG00000100129",9195.70008101702,-1.11838599833914,0.132669006910434,-8.42989650999779,3.45971049481203e-17,2.78499911086301e-15,"EIF3L"
"ENSG00000143365",139.658457304542,-2.28301786556618,0.271068464242568,-8.42229239740408,3.69188266961891e-17,2.92599519533851e-15,"RORC"
"ENSG00000214279",106.331630441601,-2.03693106340016,0.242941040818191,-8.38446668599127,5.09562490221313e-17,3.9771061736779e-15,"SCART1"
"ENSG00000118402",49.2804559464618,-2.52592457506724,0.304228081070638,-8.30273315394825,1.01743221612002e-16,7.53965021671326e-15,"ELOVL4"
"ENSG00000241343",3489.90550442436,-1.11621695895547,0.134699244373347,-8.28673511977278,1.1639946813862e-16,8.56391355728119e-15,"RPL36A"
"ENSG00000168913",15.7425843008815,-3.28054823807743,0.396638734811209,-8.27087208121239,1.32982671217353e-16,9.5445289932818e-15,"ENHO"
"ENSG00000214113",375.179284335838,-1.01042062309984,0.122242901309906,-8.26567933411737,1.38901461004871e-16,9.93460031375258e-15,"LYRM4"
"ENSG00000244734",10944.3976753232,-4.5567626886369,0.556453556942492,-8.18893622259266,2.63545141259754e-16,1.83382749648779e-14,"HBB"
"ENSG00000280516",198.302114435236,-1.09135180941844,0.133349498402507,-8.1841463409503,2.74240659266907e-16,1.90180338269318e-14,"TMEM42"
"ENSG00000133985",688.26811619744,-1.54690393309776,0.19083245865796,-8.10608396483725,5.22773251758959e-16,3.48408004508316e-14,"TTC9"
"ENSG00000144290",188.329212846857,-3.61878188827154,0.447039238964169,-8.09499831973719,5.72651426924134e-16,3.79187607757152e-14,"SLC4A10"
"ENSG00000237808",240.935721989095,-1.80865001309661,0.223677515023147,-8.08597150638695,6.16706046310785e-16,4.07045820341527e-14,"NCR3"
